[2021-03-08 12:00:32] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:00:42] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:01:11] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:08:11] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:08:17] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:09:13] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:09:52] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:09:57] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:10:10] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:10:17] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
[2021-03-08 12:10:58] log.ERROR: ErrorException: count(): Parameter must be an array or an object that implements Countable in C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af:35 Stack trace: #0 C:\Users\NCHU\code\ost\app\storage\views\dd3b2ddff689df68c3851ca27265c4af(35): Illuminate\Exception\Handler->handleError(2, 'count(): Parame...', 'C:\\Users\\NCHU\\c...', 35, Array) #1 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\PhpEngine.php(38): include('C:\\Users\\NCHU\\c...') #2 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php(45): Illuminate\View\Engines\PhpEngine->evaluatePath('C:\\Users\\NCHU\\c...', Array) #3 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(100): Illuminate\View\Engines\CompilerEngine->get('C:\\Users\\NCHU\\c...', Array) #4 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\View\View.php(81): Illuminate\View\View->getContents() #5 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Http\Response.php(70): Illuminate\View\View->render() #6 C:\Users\NCHU\code\ost\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php(141): Illuminate\Http\Response->setContent(Object(Illuminate\View\View)) #7 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1414): Symfony\Component\HttpFoundation\Response->__construct(Object(Illuminate\View\View)) #8 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Route.php(58): Illuminate\Routing\Router->prepare(Object(Illuminate\View\View), Object(Illuminate\Http\Request)) #9 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Routing\Router.php(1016): Illuminate\Routing\Route->run(Object(Illuminate\Http\Request)) #10 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(576): Illuminate\Routing\Router->dispatch(Object(Illuminate\Http\Request)) #11 C:\Users\NCHU\code\ost\vendor\laravel\framework\src\Illuminate\Foundation\Application.php(552): Illuminate\Foundation\Application->dispatch(Object(Illuminate\Http\Request)) #12 C:\Users\NCHU\code\ost\public_html\index.php(49): Illuminate\Foundation\Application->run() #13 {main} [] []
